Age,azure2,google1,aws,azure1,google2,whisper,Value Counts
Adult,38.877471042471,50.5649227799228,53.7626833976834,38.877471042471,50.5743436293436,38.877471042471,518
Unknown,48.8102197802198,60.2973626373626,64.8052747252747,48.8102197802198,60.2416483516484,48.8102197802198,91
