segment environment,azure2,google1,aws,azure1,google2,whisper,Value Counts
Clean,36.8427916666667,47.401375,50.1765833333333,36.8427916666667,47.4467916666667,36.8427916666667,240
Far field,45.73875,52.735625,62.616875,45.73875,52.735625,45.73875,16
Music,40.6361181434599,54.8962447257384,55.3671729957806,40.6361181434599,54.8708438818565,40.6361181434599,237
Noise,46.3397413793104,55.5963793103448,65.3455172413793,46.3397413793104,55.5526724137931,46.3397413793104,116
