Gender,aws,azure,whisper,Value Counts
Female,68.9017948717949,55.7174358974359,55.7174358974359,39
Male,35.0761392405063,27.9456329113924,27.9456329113924,316
Unknown,112.166530612245,277.790918367347,277.790918367347,98
