Gender,google,aws,azure,whisper,Value Counts
Female,54.2499206349206,51.0787301587302,39.5515873015873,40.826746031746,126
Male,65.1873083778966,65.3022281639929,48.7800534759358,44.7775757575758,561
Unknown,72.5419565217391,71.3570289855073,57.5805072463768,47.3248550724638,138
