segment environment,google,aws,azure,whisper,Value Counts
Clean,63.3677992277992,56.9480888030888,45.7368532818533,44.5639382239382,518
Far field,65.3566666666667,49.46,38.805,35.7483333333333,6
Music,71.2634170854271,81.1813065326633,61.057135678392,52.8873366834171,199
Noise,59.57125,69.66125,42.4080208333333,29.2457291666667,96
