segment environment,google,aws,azure,whisper,Value Counts
Clean,57.2100787401575,32.7129921259843,32.8811811023622,32.8811811023622,254
Far field,68.37,51.02,50,50,1
Music,68.4716216216216,36.0064864864865,39.8221621621622,39.8221621621622,111
Noise,75.7471241830065,66.1686928104575,59.2839869281046,59.2839869281046,153
