Age,google,aws,azure,whisper,Value Counts
Adult,63.1837172011662,62.7288775510204,47.0888629737609,44.011501457726,686
Unknown,72.5419565217391,71.3570289855073,57.5805072463768,47.3248550724638,138
Young Adult,61.54,38.46,46.15,72.5,1
