segment environment,aws,azure,whisper,Value Counts
Clean,30.7363942307692,24.1236538461538,24.1236538461538,208
Music,33.8488524590164,33.2849180327869,33.2849180327869,61
Noise,66.1491525423729,53.2136440677966,53.2136440677966,118
Unknown,128.787878787879,377.272727272727,377.272727272727,66
